concept_name,concept_id,desired,comments,valid_start_date,invalid_reason,vocabulary_id,concept_code,concept_class_id,standar_concept,concept_name,domain_id
Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 100 by Kohlpharma,44178788,TRUE,,10/6/2017,,RxNorm Extension,OMOP3055511,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 100 by Kohlpharma,Drug
Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 100 by Axicorp,44178789,TRUE,,10/6/2017,,RxNorm Extension,OMOP3055512,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 100 by Axicorp,Drug
Hydrocortisone 20 MG [Hydrocortisone Bepharbel],36261631,TRUE,,10/1/2017,,RxNorm Extension,OMOP3112506,Branded Drug Comp,S,Hydrocortisone 20 MG [Hydrocortisone Bepharbel],Drug
Hydrocortisone 20 MG Oral Tablet [Hydrocortisone Bepharbel] Box of 20,36265457,TRUE,,10/1/2017,,RxNorm Extension,OMOP3116332,Branded Drug Box,S,Hydrocortisone 20 MG Oral Tablet [Hydrocortisone Bepharbel] Box of 20,Drug
Hydrocortisone 20 MG Oral Tablet [Hydrocortisone Bepharbel] Box of 20 by Bepharbel,36268747,TRUE,,10/1/2017,,RxNorm Extension,OMOP3119622,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet [Hydrocortisone Bepharbel] Box of 20 by Bepharbel,Drug
Hydrocortisone 20 MG Oral Tablet Box of 20,36269901,TRUE,,10/1/2017,,RxNorm Extension,OMOP3120776,Clinical Drug Box,S,Hydrocortisone 20 MG Oral Tablet Box of 20,Drug
Hydrocortisone 20 MG Oral Tablet [Hydrocortisone Bepharbel],36275714,TRUE,,10/1/2017,,RxNorm Extension,OMOP3126589,Branded Drug,S,Hydrocortisone 20 MG Oral Tablet [Hydrocortisone Bepharbel],Drug
Hydrocortisone Oral Tablet [Hydrocortisone Bepharbel],36277266,TRUE,,10/1/2017,,RxNorm Extension,OMOP3128141,Branded Drug Form,S,Hydrocortisone Oral Tablet [Hydrocortisone Bepharbel],Drug
Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 50,41219844,TRUE,,8/24/2017,,RxNorm Extension,OMOP2417806,Branded Drug Box,S,Hydrocortisone 20 MG Oral Tablet [Plenadren] Box of 50,Drug
Hydrocortisone 10 MG Oral Tablet Box of 100,41085522,TRUE,,8/24/2017,,RxNorm Extension,OMOP2283484,Clinical Drug Box,S,Hydrocortisone 10 MG Oral Tablet Box of 100,Drug
Hydrocortisone 10 MG Oral Tablet Box of 50 by Teofarma,41198300,TRUE,,8/24/2017,,RxNorm Extension,OMOP2396262,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 50 by Teofarma,Drug
Hydrocortisone 10 MG Oral Tablet Box of 50 by Mibe,41198301,TRUE,,8/24/2017,,RxNorm Extension,OMOP2396263,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 50 by Mibe,Drug
Hydrocortisone 3 MG/ML,41201879,TRUE,,8/24/2017,,RxNorm Extension,OMOP2399841,Clinical Drug Comp,S,Hydrocortisone 3 MG/ML,Drug
Hydrocortisone 0.00333 MG/ML [Alfason],41203875,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2401837,Branded Drug Comp,S,Hydrocortisone 0.00333 MG/ML [Alfason],Drug
Hydrocortisone Oral Tablet [Hydroson],41207179,TRUE,,8/24/2017,,RxNorm Extension,OMOP2405141,Branded Drug Form,S,Hydrocortisone Oral Tablet [Hydroson],Drug
Hydrocortisone 10 MG [Hydroson],41234857,TRUE,,8/24/2017,,RxNorm Extension,OMOP2432819,Branded Drug Comp,S,Hydrocortisone 10 MG [Hydroson],Drug
Hydrocortisone Oral Tablet [Plenadren],41238092,TRUE,,8/24/2017,,RxNorm Extension,OMOP2436054,Branded Drug Form,S,Hydrocortisone Oral Tablet [Plenadren],Drug
Hydrocortisone 20 MG Extended Release Oral Tablet by Actavis,35742713,TRUE,,8/24/2017,,RxNorm Extension,OMOP2744174,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet by Actavis,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet by TEVA,35742714,TRUE,,8/24/2017,,RxNorm Extension,OMOP2744175,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet by TEVA,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet by Kent,35742715,TRUE,,8/24/2017,,RxNorm Extension,OMOP2744176,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet by Kent,Drug
Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo] by Astellas,35742716,TRUE,,8/24/2017,,RxNorm Extension,OMOP2744177,Marketed Product,S,Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo] by Astellas,Drug
Hydrocortisone 3 MG/ML Oral Suspension,35762314,TRUE,,8/24/2017,,RxNorm Extension,OMOP2763775,Clinical Drug,S,Hydrocortisone 3 MG/ML Oral Suspension,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30,35762315,TRUE,,8/24/2017,,RxNorm Extension,OMOP2763776,Clinical Drug Box,S,Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30,Drug
Hydrocortisone 1 MG/ML Oral Suspension by Drug Tariff Special Order,35763614,TRUE,,8/24/2017,,RxNorm Extension,OMOP2765075,Marketed Product,S,Hydrocortisone 1 MG/ML Oral Suspension by Drug Tariff Special Order,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Hydrocortone] by Auden Mckenzie,35763616,TRUE,,8/24/2017,,RxNorm Extension,OMOP2765077,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Hydrocortone] by Auden Mckenzie,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by Sovereign,35763617,TRUE,,8/24/2017,,RxNorm Extension,OMOP2765078,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by Sovereign,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by Waymade,35763618,TRUE,,8/24/2017,,RxNorm Extension,OMOP2765079,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by Waymade,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet by Waymade,35763619,TRUE,,8/24/2017,,RxNorm Extension,OMOP2765080,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet by Waymade,Drug
Hydrocortisone 3.6 MG/ML Oral Suspension,35766390,TRUE,,8/24/2017,,RxNorm Extension,OMOP2767851,Clinical Drug,S,Hydrocortisone 3.6 MG/ML Oral Suspension,Drug
Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo],35766777,TRUE,,8/24/2017,,RxNorm Extension,OMOP2768238,Branded Drug,S,Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo],Drug
Hydrocortisone 2 MG/ML Oral Suspension by Drug Tariff Special Order,35767756,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2769217,Marketed Product,S,Hydrocortisone 2 MG/ML Oral Suspension by Drug Tariff Special Order,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by TEVA,35767757,TRUE,,8/24/2017,,RxNorm Extension,OMOP2769218,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by TEVA,Drug
100 ML Hydrocortisone 1 MG/ML Oral Solution,35786194,TRUE,,8/24/2017,,RxNorm Extension,OMOP2787655,Quant Clinical Drug,S,100 ML Hydrocortisone 1 MG/ML Oral Solution,Drug
100 ML Hydrocortisone 2 MG/ML Oral Suspension by Drug Tariff Special Order,35786264,TRUE,,8/24/2017,,RxNorm Extension,OMOP2787725,Marketed Product,S,100 ML Hydrocortisone 2 MG/ML Oral Suspension by Drug Tariff Special Order,Drug
100 ML Hydrocortisone 1 MG/ML Oral Solution by Drug Tariff Special Order,35787385,TRUE,,8/24/2017,,RxNorm Extension,OMOP2788846,Marketed Product,S,100 ML Hydrocortisone 1 MG/ML Oral Solution by Drug Tariff Special Order,Drug
100 ML Hydrocortisone 1 MG/ML Oral Suspension by Drug Tariff Special Order,35787386,TRUE,,8/24/2017,,RxNorm Extension,OMOP2788847,Marketed Product,S,100 ML Hydrocortisone 1 MG/ML Oral Suspension by Drug Tariff Special Order,Drug
99300 MG Hydrocortisone 0.001 MG/MG Oral Suspension,35796667,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2798128,Quant Clinical Drug,S,99300 MG Hydrocortisone 0.001 MG/MG Oral Suspension,Drug
99300 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo],35796932,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2798393,Quant Branded Drug,S,99300 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo],Drug
99300 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo] by Astellas,35796955,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2798416,Marketed Product,S,99300 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo] by Astellas,Drug
100000 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo],35797191,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2798652,Quant Branded Drug,S,100000 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo],Drug
100000 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo] by Astellas,35797250,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2798711,Marketed Product,S,100000 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo] by Astellas,Drug
101000 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo] by Astellas,35797547,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2799008,Marketed Product,S,101000 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo] by Astellas,Drug
101000 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo],35797782,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2799243,Quant Branded Drug,S,101000 MG Hydrocortisone 0.001 MG/MG Oral Suspension [Locoid Crelo],Drug
101000 MG Hydrocortisone 0.001 MG/MG Oral Suspension,35797936,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2799397,Quant Clinical Drug,S,101000 MG Hydrocortisone 0.001 MG/MG Oral Suspension,Drug
Hydrocortisone Oral Suspension [Locoid Crelo],35749547,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2751008,Branded Drug Form,S,Hydrocortisone Oral Suspension [Locoid Crelo],Drug
Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by Alliance,35751047,TRUE,,8/24/2017,,RxNorm Extension,OMOP2752508,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by Alliance,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by Phoenix Labs,35751048,TRUE,,8/24/2017,,RxNorm Extension,OMOP2752509,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet Box of 30 by Phoenix Labs,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet by Almus,35751049,TRUE,,8/24/2017,,RxNorm Extension,OMOP2752510,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet by Almus,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet by Sovereign,35751050,TRUE,,8/24/2017,,RxNorm Extension,OMOP2752511,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet by Sovereign,Drug
Hydrocortisone 0.001 MG/MG [Locoid Crelo],35753652,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2755113,Branded Drug Comp,S,Hydrocortisone 0.001 MG/MG [Locoid Crelo],Drug
Hydrocortisone 6 MG/ML Oral Suspension,35753993,TRUE,,8/24/2017,,RxNorm Extension,OMOP2755454,Clinical Drug,S,Hydrocortisone 6 MG/ML Oral Suspension,Drug
100 ML Hydrocortisone 1 MG/ML Oral Suspension,21098694,TRUE,,8/24/2017,,RxNorm Extension,OMOP323905,Quant Clinical Drug,S,100 ML Hydrocortisone 1 MG/ML Oral Suspension,Drug
100 ML Hydrocortisone 2 MG/ML Oral Suspension,21029961,TRUE,,8/24/2017,,RxNorm Extension,OMOP323914,Quant Clinical Drug,S,100 ML Hydrocortisone 2 MG/ML Oral Suspension,Drug
Hydrocortisone Oral Capsule,21104723,TRUE,,8/24/2017,,RxNorm Extension,OMOP254613,Clinical Drug Form,S,Hydrocortisone Oral Capsule,Drug
Hydrocortisone Extended Release Oral Tablet [Plenadren],21104724,TRUE,,8/24/2017,,RxNorm Extension,OMOP254614,Branded Drug Form,S,Hydrocortisone Extended Release Oral Tablet [Plenadren],Drug
Hydrocortisone Oral Tablet [Corlan],21094837,TRUE,,8/24/2017,,RxNorm Extension,OMOP254615,Branded Drug Form,S,Hydrocortisone Oral Tablet [Corlan],Drug
Hydrocortisone 2.5 MG/ML Oral Suspension,21055570,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254636,Clinical Drug,S,Hydrocortisone 2.5 MG/ML Oral Suspension,Drug
Hydrocortisone 0.05 MG/ML,21114515,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254660,Clinical Drug Comp,S,Hydrocortisone 0.05 MG/ML,Drug
Hydrocortisone 0.05 MG/ML Oral Suspension,21114516,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254661,Clinical Drug,S,Hydrocortisone 0.05 MG/ML Oral Suspension,Drug
Hydrocortisone 0.75 MG/ML,21094843,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254663,Clinical Drug Comp,S,Hydrocortisone 0.75 MG/ML,Drug
Hydrocortisone 0.75 MG/ML Oral Suspension,21094844,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254664,Clinical Drug,S,Hydrocortisone 0.75 MG/ML Oral Suspension,Drug
Hydrocortisone 1.27 MG/ML Oral Suspension,21104729,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254667,Clinical Drug,S,Hydrocortisone 1.27 MG/ML Oral Suspension,Drug
Hydrocortisone 2.5 MG [Corlan],21094845,TRUE,,8/24/2017,,RxNorm Extension,OMOP254669,Branded Drug Comp,S,Hydrocortisone 2.5 MG [Corlan],Drug
Hydrocortisone 2.5 MG Oral Capsule,21085071,TRUE,,8/24/2017,,RxNorm Extension,OMOP254670,Clinical Drug,S,Hydrocortisone 2.5 MG Oral Capsule,Drug
Hydrocortisone 2.5 MG Oral Capsule Box of 1,21114517,TRUE,,8/24/2017,,RxNorm Extension,OMOP254672,Clinical Drug Box,S,Hydrocortisone 2.5 MG Oral Capsule Box of 1,Drug
Hydrocortisone 2.5 MG Oral Tablet by Sigma-Tau,21085072,TRUE,,8/24/2017,,RxNorm Extension,OMOP254675,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet by Sigma-Tau,Drug
Hydrocortisone 2.5 MG Oral Tablet by Alliance,21153875,TRUE,,8/24/2017,,RxNorm Extension,OMOP254676,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet by Alliance,Drug
Hydrocortisone 2.5 MG Oral Tablet by Waymade,21075346,TRUE,,8/24/2017,,RxNorm Extension,OMOP254677,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet by Waymade,Drug
Hydrocortisone 2.5 MG Oral Tablet by DE,21045800,TRUE,,8/24/2017,,RxNorm Extension,OMOP254678,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet by DE,Drug
Hydrocortisone 2.5 MG Oral Tablet by A A H,21035954,TRUE,,8/24/2017,,RxNorm Extension,OMOP254679,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet by A A H,Drug
Hydrocortisone 2.5 MG Oral Tablet by Actavis,21163682,TRUE,,8/24/2017,,RxNorm Extension,OMOP254680,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet by Actavis,Drug
Hydrocortisone 2.5 MG Oral Tablet Box of 20,21104730,TRUE,,8/24/2017,,RxNorm Extension,OMOP254681,Clinical Drug Box,S,Hydrocortisone 2.5 MG Oral Tablet Box of 20,Drug
Hydrocortisone 2.5 MG Oral Tablet Box of 20 by Sigma-Tau,21124122,TRUE,,8/24/2017,,RxNorm Extension,OMOP254682,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet Box of 20 by Sigma-Tau,Drug
Hydrocortisone 2.5 MG Oral Tablet Box of 20 by Alliance,21173453,TRUE,,8/24/2017,,RxNorm Extension,OMOP254683,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet Box of 20 by Alliance,Drug
Hydrocortisone 2.5 MG Oral Tablet Box of 20 by Waymade,21114518,TRUE,,8/24/2017,,RxNorm Extension,OMOP254685,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet Box of 20 by Waymade,Drug
Hydrocortisone 2.5 MG Oral Tablet Box of 20 by DE,21143921,TRUE,,8/24/2017,,RxNorm Extension,OMOP254686,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet Box of 20 by DE,Drug
Hydrocortisone 2.5 MG Oral Tablet Box of 20 by A A H,21163683,TRUE,,8/24/2017,,RxNorm Extension,OMOP254687,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet Box of 20 by A A H,Drug
Hydrocortisone 2.5 MG Oral Tablet Box of 20 by Actavis,21104731,TRUE,,8/24/2017,,RxNorm Extension,OMOP254688,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet Box of 20 by Actavis,Drug
Hydrocortisone 2.5 MG Oral Tablet [Corlan],21065405,TRUE,,8/24/2017,,RxNorm Extension,OMOP254689,Branded Drug,S,Hydrocortisone 2.5 MG Oral Tablet [Corlan],Drug
Hydrocortisone 2.5 MG Oral Tablet [Corlan] by Auden Mckenzie,21094846,TRUE,,8/24/2017,,RxNorm Extension,OMOP254690,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet [Corlan] by Auden Mckenzie,Drug
Hydrocortisone 2.5 MG Oral Tablet [Corlan] Box of 20,21153876,TRUE,,8/24/2017,,RxNorm Extension,OMOP254691,Branded Drug Box,S,Hydrocortisone 2.5 MG Oral Tablet [Corlan] Box of 20,Drug
Hydrocortisone 2.5 MG Oral Tablet [Corlan] Box of 20 by Auden Mckenzie,21065406,TRUE,,8/24/2017,,RxNorm Extension,OMOP254692,Marketed Product,S,Hydrocortisone 2.5 MG Oral Tablet [Corlan] Box of 20 by Auden Mckenzie,Drug
Hydrocortisone 20 MG [Plenadren],21134010,TRUE,,8/24/2017,,RxNorm Extension,OMOP254698,Branded Drug Comp,S,Hydrocortisone 20 MG [Plenadren],Drug
Hydrocortisone 20 MG Oral Tablet by Phoenix Labs,21163684,TRUE,,8/24/2017,,RxNorm Extension,OMOP254699,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by Phoenix Labs,Drug
Hydrocortisone 20 MG Oral Tablet by Kent,21134011,TRUE,,8/24/2017,,RxNorm Extension,OMOP254700,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by Kent,Drug
Hydrocortisone 20 MG Oral Tablet by Sigma-Tau,21124124,TRUE,,8/24/2017,,RxNorm Extension,OMOP254702,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by Sigma-Tau,Drug
Hydrocortisone 20 MG Oral Tablet by Alliance,21094847,TRUE,,8/24/2017,,RxNorm Extension,OMOP254703,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by Alliance,Drug
Hydrocortisone 20 MG Oral Tablet by Waymade,21114520,TRUE,,8/24/2017,,RxNorm Extension,OMOP254704,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by Waymade,Drug
Hydrocortisone 20 MG Oral Tablet by DE,21173454,TRUE,,8/24/2017,,RxNorm Extension,OMOP254705,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by DE,Drug
Hydrocortisone 20 MG Oral Tablet by A A H,21173455,TRUE,,8/24/2017,,RxNorm Extension,OMOP254706,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by A A H,Drug
Hydrocortisone 20 MG Oral Tablet by Sovereign,21173456,TRUE,,8/24/2017,,RxNorm Extension,OMOP254707,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by Sovereign,Drug
Hydrocortisone 20 MG Oral Tablet by TEVA,21065407,TRUE,,8/24/2017,,RxNorm Extension,OMOP254708,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by TEVA,Drug
Hydrocortisone 20 MG Oral Tablet by Actavis,21065408,TRUE,,8/24/2017,,RxNorm Extension,OMOP254709,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by Actavis,Drug
Hydrocortisone 20 MG Oral Tablet by Almus,21094848,TRUE,,8/24/2017,,RxNorm Extension,OMOP254710,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet by Almus,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30,21026164,TRUE,,8/24/2017,,RxNorm Extension,OMOP254711,Clinical Drug Box,S,Hydrocortisone 20 MG Oral Tablet Box of 30,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by Phoenix Labs,21035955,TRUE,,8/24/2017,,RxNorm Extension,OMOP254713,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by Phoenix Labs,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by Kent,21045801,TRUE,,8/24/2017,,RxNorm Extension,OMOP254714,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by Kent,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by Sigma-Tau,21085073,TRUE,,8/24/2017,,RxNorm Extension,OMOP254715,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by Sigma-Tau,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by Alliance,21124125,TRUE,,8/24/2017,,RxNorm Extension,OMOP254716,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by Alliance,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by Waymade,21143923,TRUE,,8/24/2017,,RxNorm Extension,OMOP254717,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by Waymade,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by DE,21045802,TRUE,,8/24/2017,,RxNorm Extension,OMOP254718,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by DE,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by A A H,21055572,TRUE,,8/24/2017,,RxNorm Extension,OMOP254719,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by A A H,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by Sovereign,21075347,TRUE,,8/24/2017,,RxNorm Extension,OMOP254720,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by Sovereign,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by TEVA,21094849,TRUE,,8/24/2017,,RxNorm Extension,OMOP254721,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by TEVA,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by Actavis,21163685,TRUE,,8/24/2017,,RxNorm Extension,OMOP254722,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by Actavis,Drug
Hydrocortisone 20 MG Oral Tablet Box of 30 by Almus,21094850,TRUE,,8/24/2017,,RxNorm Extension,OMOP254723,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet Box of 30 by Almus,Drug
Hydrocortisone 20 MG Oral Tablet [Hydrocortone] by Auden Mckenzie,21026165,TRUE,,8/24/2017,,RxNorm Extension,OMOP254724,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet [Hydrocortone] by Auden Mckenzie,Drug
Hydrocortisone 20 MG Oral Tablet [Hydrocortone] Box of 30,21055573,TRUE,,8/24/2017,,RxNorm Extension,OMOP254725,Branded Drug Box,S,Hydrocortisone 20 MG Oral Tablet [Hydrocortone] Box of 30,Drug
Hydrocortisone 20 MG Oral Tablet [Hydrocortone] Box of 30 by Auden Mckenzie,21143924,TRUE,,8/24/2017,,RxNorm Extension,OMOP254726,Marketed Product,S,Hydrocortisone 20 MG Oral Tablet [Hydrocortone] Box of 30 by Auden Mckenzie,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet Box of 50,21173457,TRUE,,8/24/2017,,RxNorm Extension,OMOP254727,Clinical Drug Box,S,Hydrocortisone 20 MG Extended Release Oral Tablet Box of 50,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren],21055574,TRUE,,8/24/2017,,RxNorm Extension,OMOP254728,Branded Drug,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren],Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] by ViroPharma,21173458,TRUE,,8/24/2017,,RxNorm Extension,OMOP254729,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] by ViroPharma,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50,21055575,TRUE,,8/24/2017,,RxNorm Extension,OMOP254730,Branded Drug Box,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50,Drug
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by ViroPharma,21045803,TRUE,,8/24/2017,,RxNorm Extension,OMOP254732,Marketed Product,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 50 by ViroPharma,Drug
Hydrocortisone 0.2 MG/ML,21055581,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254773,Clinical Drug Comp,S,Hydrocortisone 0.2 MG/ML,Drug
Hydrocortisone 0.2 MG/ML Oral Suspension,21055582,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254774,Clinical Drug,S,Hydrocortisone 0.2 MG/ML Oral Suspension,Drug
Hydrocortisone 0.8 MG/ML,21035957,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254776,Clinical Drug Comp,S,Hydrocortisone 0.8 MG/ML,Drug
Hydrocortisone 0.8 MG/ML Oral Suspension,21153879,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP254777,Clinical Drug,S,Hydrocortisone 0.8 MG/ML Oral Suspension,Drug
Hydrocortisone 5 MG [Plenadren],21035958,TRUE,,8/24/2017,,RxNorm Extension,OMOP254779,Branded Drug Comp,S,Hydrocortisone 5 MG [Plenadren],Drug
Hydrocortisone 5 MG Extended Release Oral Tablet Box of 50,21075353,TRUE,,8/24/2017,,RxNorm Extension,OMOP254781,Clinical Drug Box,S,Hydrocortisone 5 MG Extended Release Oral Tablet Box of 50,Drug
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren],21094856,TRUE,,8/24/2017,,RxNorm Extension,OMOP254782,Branded Drug,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren],Drug
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] by ViroPharma,21055583,TRUE,,8/24/2017,,RxNorm Extension,OMOP254783,Marketed Product,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] by ViroPharma,Drug
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 50,21153881,TRUE,,8/24/2017,,RxNorm Extension,OMOP254784,Branded Drug Box,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 50,Drug
Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 50 by ViroPharma,21026170,TRUE,,8/24/2017,,RxNorm Extension,OMOP254785,Marketed Product,S,Hydrocortisone 5 MG Extended Release Oral Tablet [Plenadren] Box of 50 by ViroPharma,Drug
