concept_name,concept_id,valid_start_date,invalid_reason,vocabulary_id,concept_code,concept_class_id,standar_concept,concept_name,domain_id,valid_end_date
prednisolone 5 MG Oral Tablet [Hostacortin] Box of 10,41091074,2017-08-24,,RxNorm Extension,OMOP2289036,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Hostacortin] Box of 10,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decortin] Box of 50,41091075,2017-08-24,,RxNorm Extension,OMOP2289037,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Decortin] Box of 50,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Merck] Box of 20,41091088,2017-08-24,,RxNorm Extension,OMOP2289050,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Prednisolon Merck] Box of 20,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Decortin] Box of 50,41091089,2017-08-24,,RxNorm Extension,OMOP2289051,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Decortin] Box of 50,Drug,2099-12-31
prednisolone 50 MG Oral Tablet Box of 10 by Galen,41102126,2017-08-24,,RxNorm Extension,OMOP2300088,Marketed Product,S,prednisolone 50 MG Oral Tablet Box of 10 by Galen,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 100 by Mibe,41102127,2017-08-24,,RxNorm Extension,OMOP2300089,Marketed Product,S,prednisolone 1 MG Oral Tablet Box of 100 by Mibe,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 100 by Jenapharm,41102128,2017-08-24,,RxNorm Extension,OMOP2300090,Marketed Product,S,prednisolone 1 MG Oral Tablet Box of 100 by Jenapharm,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 50 by Rotexmedica,41102135,2017-08-24,,RxNorm Extension,OMOP2300097,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 50 by Rotexmedica,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Merck] Box of 50 by Mylan,41102136,2017-08-24,,RxNorm Extension,OMOP2300098,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Merck] Box of 50 by Mylan,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Merck] Box of 20 by Mylan,41102137,2017-08-24,,RxNorm Extension,OMOP2300099,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Merck] Box of 20 by Mylan,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H] Box of 100 by Sanofi,41102138,2017-08-24,,RxNorm Extension,OMOP2300100,Marketed Product,S,prednisolone 5 MG Oral Tablet [Predni H] Box of 100 by Sanofi,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 500 by Boerner,41102139,2017-08-24,,RxNorm Extension,OMOP2300101,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 500 by Boerner,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 20 by Galen,41102140,2017-08-24,,RxNorm Extension,OMOP2300102,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 20 by Galen,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 20 by Berco- Gottfried Herzberg,41102141,2017-08-24,,RxNorm Extension,OMOP2300103,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 20 by Berco- Gottfried Herzberg,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 200,41115357,2017-08-24,,RxNorm Extension,OMOP2313319,Clinical Drug Box,S,prednisolone 1 MG Oral Tablet Box of 200,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 20,41115363,2017-08-24,,RxNorm Extension,OMOP2313325,Clinical Drug Box,S,prednisolone 5 MG Oral Tablet Box of 20,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 1,41115364,2017-08-24,,RxNorm Extension,OMOP2313326,Clinical Drug Box,S,prednisolone 5 MG Oral Tablet Box of 1,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednihexal] Box of 50 by Novartis,41133485,2017-08-24,,RxNorm Extension,OMOP2331447,Marketed Product,S,prednisolone 50 MG Oral Tablet [Prednihexal] Box of 50 by Novartis,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Dermosolon] Box of 50 by DermaPharm,41133486,2017-08-24,,RxNorm Extension,OMOP2331448,Marketed Product,S,prednisolone 50 MG Oral Tablet [Dermosolon] Box of 50 by DermaPharm,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 100 by Mibe,41133491,2017-08-24,,RxNorm Extension,OMOP2331453,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 100 by Mibe,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Dura] Box of 100 by Mylan,41133492,2017-08-24,,RxNorm Extension,OMOP2331454,Marketed Product,S,prednisolone 10 MG Oral Tablet [Prednisolon Dura] Box of 100 by Mylan,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Predni Blue] Box of 100 by Blue,41133493,2017-08-24,,RxNorm Extension,OMOP2331455,Marketed Product,S,prednisolone 10 MG Oral Tablet [Predni Blue] Box of 100 by Blue,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Predni Blue] Box of 20 by Blue,41133494,2017-08-24,,RxNorm Extension,OMOP2331456,Marketed Product,S,prednisolone 10 MG Oral Tablet [Predni Blue] Box of 20 by Blue,Drug,2099-12-31
prednisolone 10 MG Oral Tablet Box of 100 by Acis,41133495,2017-08-24,,RxNorm Extension,OMOP2331457,Marketed Product,S,prednisolone 10 MG Oral Tablet Box of 100 by Acis,Drug,2099-12-31
prednisolone 10 MG Oral Tablet Box of 20 by Mibe,41133496,2017-08-24,,RxNorm Extension,OMOP2331458,Marketed Product,S,prednisolone 10 MG Oral Tablet Box of 20 by Mibe,Drug,2099-12-31
prednisolone 50 MG Oral Tablet Box of 50 by Acis,41039425,2017-08-24,,RxNorm Extension,OMOP2237387,Marketed Product,S,prednisolone 50 MG Oral Tablet Box of 50 by Acis,Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decortin] Box of 50 by Mylan,41039426,2017-08-24,,RxNorm Extension,OMOP2237388,Marketed Product,S,prednisolone 1 MG Oral Tablet [Decortin] Box of 50 by Mylan,Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decortin] Box of 20 by Mylan,41039427,2017-08-24,,RxNorm Extension,OMOP2237389,Marketed Product,S,prednisolone 1 MG Oral Tablet [Decortin] Box of 20 by Mylan,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Merck] Box of 100 by Mylan,41039430,2017-08-24,,RxNorm Extension,OMOP2237392,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Merck] Box of 100 by Mylan,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 100 by Mylan,41039431,2017-08-24,,RxNorm Extension,OMOP2237393,Marketed Product,S,prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 100 by Mylan,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decaprednil] Box of 50 by Galen,41039432,2017-08-24,,RxNorm Extension,OMOP2237394,Marketed Product,S,prednisolone 5 MG Oral Tablet [Decaprednil] Box of 50 by Galen,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 100 by Ge Hc Buchler,41039433,2017-08-24,,RxNorm Extension,OMOP2237395,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 100 by Ge Hc Buchler,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 50 by Acis,41039434,2017-08-24,,RxNorm Extension,OMOP2237396,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 50 by Acis,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Al] Box of 20 by Aliud,41039436,2017-08-24,,RxNorm Extension,OMOP2237398,Marketed Product,S,prednisolone 10 MG Oral Tablet [Prednisolon Al] Box of 20 by Aliud,Drug,2099-12-31
prednisolone 50 MG Oral Tablet Box of 50,41052527,2017-08-24,,RxNorm Extension,OMOP2250489,Clinical Drug Box,S,prednisolone 50 MG Oral Tablet Box of 50,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 1200,41052531,2017-08-24,,RxNorm Extension,OMOP2250493,Clinical Drug Box,S,prednisolone 5 MG Oral Tablet Box of 1200,Drug,2099-12-31
prednisolone 10 MG Oral Tablet Box of 10,41052540,2017-08-24,,RxNorm Extension,OMOP2250502,Clinical Drug Box,S,prednisolone 10 MG Oral Tablet Box of 10,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 10 by Ratiopharm,41070704,2017-08-24,,RxNorm Extension,OMOP2268666,Marketed Product,S,prednisolone 50 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 10 by Ratiopharm,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 100 by Ge Hc Buchler,41070705,2017-08-24,,RxNorm Extension,OMOP2268667,Marketed Product,S,prednisolone 1 MG Oral Tablet Box of 100 by Ge Hc Buchler,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Scherisolon] Box of 30 by Bayer,41070713,2017-08-24,,RxNorm Extension,OMOP2268675,Marketed Product,S,prednisolone 5 MG Oral Tablet [Scherisolon] Box of 30 by Bayer,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 100 by Ratiopharm,41070714,2017-08-24,,RxNorm Extension,OMOP2268676,Marketed Product,S,prednisolone 5 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 100 by Ratiopharm,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hefasolon] Box of 20 by Riemser,41070715,2017-08-24,,RxNorm Extension,OMOP2268677,Marketed Product,S,prednisolone 5 MG Oral Tablet [Hefasolon] Box of 20 by Riemser,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 20 by Mylan,41070716,2017-08-24,,RxNorm Extension,OMOP2268678,Marketed Product,S,prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 20 by Mylan,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decortin] Box of 30 by Mylan,41070717,2017-08-24,,RxNorm Extension,OMOP2268679,Marketed Product,S,prednisolone 5 MG Oral Tablet [Decortin] Box of 30 by Mylan,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Merck] Box of 50 by Mylan,41070718,2017-08-24,,RxNorm Extension,OMOP2268680,Marketed Product,S,prednisolone 10 MG Oral Tablet [Prednisolon Merck] Box of 50 by Mylan,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Dermosolon] Box of 20 by DermaPharm,41070719,2017-08-24,,RxNorm Extension,OMOP2268681,Marketed Product,S,prednisolone 10 MG Oral Tablet [Dermosolon] Box of 20 by DermaPharm,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Decortin] Box of 50 by Mylan,41070720,2017-08-24,,RxNorm Extension,OMOP2268682,Marketed Product,S,prednisolone 10 MG Oral Tablet [Decortin] Box of 50 by Mylan,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Decortin] Box of 10,41059467,2017-08-24,,RxNorm Extension,OMOP2257429,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Decortin] Box of 10,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Ultracorten] Box of 100,41059476,2017-08-24,,RxNorm Extension,OMOP2257438,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Ultracorten] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H] Box of 1000,41059478,2017-08-24,,RxNorm Extension,OMOP2257440,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni H] Box of 1000,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hostacortin] Box of 20,41059479,2017-08-24,,RxNorm Extension,OMOP2257441,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Hostacortin] Box of 20,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hefasolon] Box of 100,41059480,2017-08-24,,RxNorm Extension,OMOP2257442,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Hefasolon] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Deltacortril],41059481,2017-08-24,,RxNorm Extension,OMOP2257443,Branded Drug,S,prednisolone 5 MG Oral Tablet [Deltacortril],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decaprednil],41059482,2017-08-24,,RxNorm Extension,OMOP2257444,Branded Drug,S,prednisolone 5 MG Oral Tablet [Decaprednil],Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Predni H] Box of 10,41059495,2017-08-24,,RxNorm Extension,OMOP2257457,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Predni H] Box of 10,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Predni H],41059496,2017-08-24,,RxNorm Extension,OMOP2257458,Branded Drug,S,prednisolone 10 MG Oral Tablet [Predni H],Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Decortin] Box of 200,41028253,2017-08-24,,RxNorm Extension,OMOP2226215,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Decortin] Box of 200,Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Deltacortril],41028259,2017-08-24,,RxNorm Extension,OMOP2226221,Branded Drug,S,prednisolone 1 MG Oral Tablet [Deltacortril],Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decaprednil] Box of 50,41028260,2017-08-24,,RxNorm Extension,OMOP2226222,Branded Drug Box,S,prednisolone 1 MG Oral Tablet [Decaprednil] Box of 50,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 30,41028265,2017-08-24,,RxNorm Extension,OMOP2226227,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 30,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednihexal] Box of 50,41028266,2017-08-24,,RxNorm Extension,OMOP2226228,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednihexal] Box of 50,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni H],41028267,2017-08-24,,RxNorm Extension,OMOP2226229,Branded Drug,S,prednisolone 5 MG Oral Tablet [Predni H],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 10,41028268,2017-08-24,,RxNorm Extension,OMOP2226230,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 10,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hefasolon] Box of 200,41028269,2017-08-24,,RxNorm Extension,OMOP2226231,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Hefasolon] Box of 200,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hefasolon] Box of 120,41028270,2017-08-24,,RxNorm Extension,OMOP2226232,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Hefasolon] Box of 120,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 120,41028271,2017-08-24,,RxNorm Extension,OMOP2226233,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 120,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Merck],41028281,2017-08-24,,RxNorm Extension,OMOP2226243,Branded Drug,S,prednisolone 10 MG Oral Tablet [Prednisolon Merck],Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Dura] Box of 100,41028282,2017-08-24,,RxNorm Extension,OMOP2226244,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Prednisolon Dura] Box of 100,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednihexal] Box of 50,41028283,2017-08-24,,RxNorm Extension,OMOP2226245,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Prednihexal] Box of 50,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednisolon Stada] Box of 10,40997195,2017-08-24,,RxNorm Extension,OMOP2195157,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Prednisolon Stada] Box of 10,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednihexal] Box of 50,40997196,2017-08-24,,RxNorm Extension,OMOP2195158,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Prednihexal] Box of 50,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Predni Blue] Box of 50,40997197,2017-08-24,,RxNorm Extension,OMOP2195159,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Predni Blue] Box of 50,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Dermosolon] Box of 10,40997198,2017-08-24,,RxNorm Extension,OMOP2195160,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Dermosolon] Box of 10,Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decortin] Box of 100,40997201,2017-08-24,,RxNorm Extension,OMOP2195163,Branded Drug Box,S,prednisolone 1 MG Oral Tablet [Decortin] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Ultracorten],40997208,2017-08-24,,RxNorm Extension,OMOP2195170,Branded Drug,S,prednisolone 5 MG Oral Tablet [Ultracorten],Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 20,40997209,2017-08-24,,RxNorm Extension,OMOP2195171,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 20,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Merck] Box of 100,40997210,2017-08-24,,RxNorm Extension,OMOP2195172,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Merck] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Lentia] Box of 30,40997211,2017-08-24,,RxNorm Extension,OMOP2195173,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Lentia] Box of 30,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 100,40997212,2017-08-24,,RxNorm Extension,OMOP2195174,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 30,40997213,2017-08-24,,RxNorm Extension,OMOP2195175,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 30,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decortin],40997214,2017-08-24,,RxNorm Extension,OMOP2195176,Branded Drug,S,prednisolone 5 MG Oral Tablet [Decortin],Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Predni Blue] Box of 100,40997234,2017-08-24,,RxNorm Extension,OMOP2195196,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Predni Blue] Box of 100,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Predni Blue] Box of 50,40997235,2017-08-24,,RxNorm Extension,OMOP2195197,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Predni Blue] Box of 50,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Predni Blue] Box of 20,40997236,2017-08-24,,RxNorm Extension,OMOP2195198,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Predni Blue] Box of 20,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Predni Blue],40997237,2017-08-24,,RxNorm Extension,OMOP2195199,Branded Drug,S,prednisolone 10 MG Oral Tablet [Predni Blue],Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Dermosolon] Box of 100,40997238,2017-08-24,,RxNorm Extension,OMOP2195200,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Dermosolon] Box of 100,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Decortin] Box of 200,40997239,2017-08-24,,RxNorm Extension,OMOP2195201,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Decortin] Box of 200,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Decortin],40997240,2017-08-24,,RxNorm Extension,OMOP2195202,Branded Drug,S,prednisolone 10 MG Oral Tablet [Decortin],Drug,2099-12-31
prednisolone Disintegrating Oral Tablet,40073185,1970-01-01,,RxNorm,379264,Clinical Drug Form,S,prednisolone Disintegrating Oral Tablet,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 50 by Ratiopharm,40914652,2017-08-24,,RxNorm Extension,OMOP2112614,Marketed Product,S,prednisolone 50 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 50 by Ratiopharm,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednisolon Merck] Box of 50 by Mylan,40914653,2017-08-24,,RxNorm Extension,OMOP2112615,Marketed Product,S,prednisolone 50 MG Oral Tablet [Prednisolon Merck] Box of 50 by Mylan,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Predni Blue] Box of 10 by Blue,40914654,2017-08-24,,RxNorm Extension,OMOP2112616,Marketed Product,S,prednisolone 50 MG Oral Tablet [Predni Blue] Box of 10 by Blue,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Dermosolon] Box of 10 by DermaPharm,40914655,2017-08-24,,RxNorm Extension,OMOP2112617,Marketed Product,S,prednisolone 50 MG Oral Tablet [Dermosolon] Box of 10 by DermaPharm,Drug,2099-12-31
prednisolone 1 MG Oral Tablet Box of 100 by Orion,40914656,2017-08-24,,RxNorm Extension,OMOP2112618,Marketed Product,S,prednisolone 1 MG Oral Tablet Box of 100 by Orion,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednihexal] Box of 100 by Novartis,40914662,2017-08-24,,RxNorm Extension,OMOP2112624,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednihexal] Box of 100 by Novartis,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 100 by Dr R Pfleger,40914663,2017-08-24,,RxNorm Extension,OMOP2112625,Marketed Product,S,prednisolone 5 MG Oral Tablet [Predni Coelin] Box of 100 by Dr R Pfleger,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 100 by Boerner,40914664,2017-08-24,,RxNorm Extension,OMOP2112626,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 100 by Boerner,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 20 by Mibe,40914665,2017-08-24,,RxNorm Extension,OMOP2112627,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 20 by Mibe,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 20 by Acis,40914666,2017-08-24,,RxNorm Extension,OMOP2112628,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 20 by Acis,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Decortin] Box of 100 by Mylan,40914668,2017-08-24,,RxNorm Extension,OMOP2112630,Marketed Product,S,prednisolone 10 MG Oral Tablet [Decortin] Box of 100 by Mylan,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Prednisolon Stada] Box of 50,40872498,2017-08-24,,RxNorm Extension,OMOP2070460,Branded Drug Box,S,prednisolone 50 MG Oral Tablet [Prednisolon Stada] Box of 50,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Predni Blue],40872499,2017-08-24,,RxNorm Extension,OMOP2070461,Branded Drug,S,prednisolone 50 MG Oral Tablet [Predni Blue],Drug,2099-12-31
prednisolone 1 MG Oral Tablet [Decortin] Box of 30,40872503,2017-08-24,,RxNorm Extension,OMOP2070465,Branded Drug Box,S,prednisolone 1 MG Oral Tablet [Decortin] Box of 30,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 100,40872513,2017-08-24,,RxNorm Extension,OMOP2070475,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Prednisolon Rotexmedica] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hostacortin] Box of 100,40872514,2017-08-24,,RxNorm Extension,OMOP2070476,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Hostacortin] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 100,40872515,2017-08-24,,RxNorm Extension,OMOP2070477,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Duraprednisolon] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decortin] Box of 10,40872516,2017-08-24,,RxNorm Extension,OMOP2070478,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Decortin] Box of 10,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decaprednil] Box of 20,40872517,2017-08-24,,RxNorm Extension,OMOP2070479,Branded Drug Box,S,prednisolone 5 MG Oral Tablet [Decaprednil] Box of 20,Drug,2099-12-31
prednisolone 10 MG Oral Tablet [Prednisolon Merck] Box of 100,40872544,2017-08-24,,RxNorm Extension,OMOP2070506,Branded Drug Box,S,prednisolone 10 MG Oral Tablet [Prednisolon Merck] Box of 100,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 200,40896811,2017-08-24,,RxNorm Extension,OMOP2094773,Clinical Drug Box,S,prednisolone 5 MG Oral Tablet Box of 200,Drug,2099-12-31
prednisolone 10 MG Oral Tablet Box of 200,40896823,2017-08-24,,RxNorm Extension,OMOP2094785,Clinical Drug Box,S,prednisolone 10 MG Oral Tablet Box of 200,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Decortin] Box of 50 by Mylan,40852475,2017-08-24,,RxNorm Extension,OMOP2050437,Marketed Product,S,prednisolone 50 MG Oral Tablet [Decortin] Box of 50 by Mylan,Drug,2099-12-31
prednisolone 50 MG Oral Tablet [Decortin] Box of 10 by Mylan,40852476,2017-08-24,,RxNorm Extension,OMOP2050438,Marketed Product,S,prednisolone 50 MG Oral Tablet [Decortin] Box of 10 by Mylan,Drug,2099-12-31
prednisolone 50 MG Oral Tablet Box of 50 by Galen,40852477,2017-08-24,,RxNorm Extension,OMOP2050439,Marketed Product,S,prednisolone 50 MG Oral Tablet Box of 50 by Galen,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 20 by Aliud,40852482,2017-08-24,,RxNorm Extension,OMOP2050444,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednisolon Al] Box of 20 by Aliud,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednihexal] Box of 20 by Novartis,40852483,2017-08-24,,RxNorm Extension,OMOP2050445,Marketed Product,S,prednisolone 5 MG Oral Tablet [Prednihexal] Box of 20 by Novartis,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Hefasolon] Box of 30 by Riemser,40852484,2017-08-24,,RxNorm Extension,OMOP2050446,Marketed Product,S,prednisolone 5 MG Oral Tablet [Hefasolon] Box of 30 by Riemser,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Deltacortril] Box of 100 by Pfizer,40852485,2017-08-24,,RxNorm Extension,OMOP2050447,Marketed Product,S,prednisolone 5 MG Oral Tablet [Deltacortril] Box of 100 by Pfizer,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decortin] Box of 200 by Mylan,40852486,2017-08-24,,RxNorm Extension,OMOP2050448,Marketed Product,S,prednisolone 5 MG Oral Tablet [Decortin] Box of 200 by Mylan,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Decaprednil] Box of 20 by Galen,40852487,2017-08-24,,RxNorm Extension,OMOP2050449,Marketed Product,S,prednisolone 5 MG Oral Tablet [Decaprednil] Box of 20 by Galen,Drug,2099-12-31
prednisolone 5 MG Oral Tablet Box of 30 by Galen,40852488,2017-08-24,,RxNorm Extension,OMOP2050450,Marketed Product,S,prednisolone 5 MG Oral Tablet Box of 30 by Galen,Drug,2099-12-31
